start	end	text
227534	228035	All right.
230477	231277	Let's get started.
232599	233379	Good to see you all.
234961	240766	Not sure if we are gonna get a big snowstorm today, but we'll see how that weather goes.
241406	246831	Hopefully you're doing okay and that the second week of labs was good.
248413	250695	It was a little bit of probably
252592	255054	not a wake-up or anything like that, but it was a lot of calculations.
255635	258997	You're gonna have a very similar calculation-based lab next week.
259378	265182	And then after that, the amount of calculations, especially like the Haldane equation, goes way down.
265302	267904	So don't worry, not every lab is gonna be like that.
268485	275871	You should have plenty of time in the future labs to complete the majority, if not all, of the lab and turn it in during that time.
275931	277652	So just hang tight.
277672	281175	We gotta get through these calculations before we move on to the fun stuff.
282477	286001	Second piece, what's in two weeks, two Thursdays from now?
287263	288524	Yeah, your first exam.
288544	294752	So your first lecture exam is in two Thursdays from today, so February 13th.
294912	296914	So please try to keep that in mind.
297615	302100	One of the big things that I like to say right off the bat would be,
303507	306970	I don't know if you're struggling unless you tell me.
307530	315017	And so you want to get some things cleared up now before you find out on the exam if you struggle on the exam.
315597	329229	So I highly recommend if there are any slides or concepts or thought questions or study guide questions that are not making sense that we need to talk about it so we can clear that up.
330970	331711	Are we okay with that?
332573	345599	All right, and that does remind me since we are getting closer to the exams, this is spring semester, I know many of you are trying to graduate, and I know all of you care about your grade, but one thing I like to say is,
347600	353985	So I don't curve the class, because typically, like if it was below a certain amount, like the syllabus says, yeah, we will curve it.
354005	355806	But we don't round grades up.
355866	357067	We don't do anything like that.
357907	369395	But if people are on the edge, some of the things that I do look for are like participation or at least attendance in lecture, as well as participation or attendance in lab.
370095	371336	So I do check those.
371897	373258	And so it's really good.
373318	380304	And I know sometimes it's hard because there are bigger groups this semester, but it's very easy to kind of tuck away and kind of hide in the background.
381245	383627	But I'm going to tell you right now, all your TAs can see that.
383907	387250	So all these small little things do add up.
388010	389171	And if you are on the edge,
390288	397716	Right, we typically don't round, but those do make a big factor in some of those decisions.
398237	399378	So try to keep that in mind.
399778	404023	You're already in lab, you might as well try to learn something and try to enjoy the lab.
404463	405144	Same with lecture.
406085	406766	Are we okay there?
407487	408368	Okay, nice.
409236	413699	All right, so we're gonna try to finish off bioenergetics and exercise metabolism.
414380	435416	Quick review, we learned on Tuesday that exercise duration and fuel selection, if we're just looking at expanding the duration, so the duration of the exercise itself, as the duration increases, we shift from carbohydrate utilization towards fat utilization.
437485	439166	So we ran through some clicker questions.
439226	439947	We looked at that.
440007	441208	Now we want to know why.
443070	447253	So most of this is due to an increased rate of lipolysis.
448013	450676	And lipolysis, again, is the breakdown of triglycerides.
451296	462025	We are mainly not really worried too much about this glycerol, but the pre-fatty acids.
463250	477861	These different lipases are freeing up these free fatty acids from the triglycerides so then we can undergo beta oxidation, get them into acetyl-CoA and then run them through the Krebs cycle and then eventually to the ETC.
479722	490110	The rate of lipolysis increases as we increase the concentration of hormones like epinephrine and norepinephrine.
491626	507736	Here, if we have duration and percent change of the hormone of interest, which is epinephrine or epinephrine, we could see that they substantially increase over time at the same exercise intensity.
508557	513400	So we're not changing the exercise intensity here, just increasing the duration.
521205	522526	So then what does this look like?
522847	524268	Well, it looks something like this.
525249	527451	This is a nice little piece here to add in.
527911	531174	We are looking at submaximal exercise, not maximal exercise.
532395	543225	Anytime we are doing any kind of substrate utilization, it needs to be primarily oxidative phosphorylation, submaximal, constant work rate.
544726	544927	Okay.
546467	551948	This is your substrate utilization in percent, exercise duration over here.
552908	560049	As exercise duration increases, we see a decrease in carbohydrate utilization and an increase in fat utilization.
560769	567431	One of those mechanisms is because we're increasing lipolysis due to the increased secretion of epinephrine.
569911	574992	From a storage standpoint, so number two, second reason, from a storage standpoint,
576862	581303	Which one of these do we have more or less an unlimited source?
584924	585224	Fats.
585604	587024	Yeah, so what about carbohydrates?
588484	588684	No.
589085	590485	What do we store carbohydrates in?
591165	591565	Or as?
592105	592485	What form?
593005	593525	Glycogen.
595206	605388	Another large factor to this decrease in carbohydrate utilization as we increase in exercise duration is we are depleting those glycogen stores.
608597	615099	Glycogen depletion during exercise does depend on intensity, but it also is impacted by time.
616040	624763	Since we are on the duration piece, we'll kind of focus on the duration for now, but just kind of keep in mind that it works at every single intensity.
625603	628645	So here in these little boxes, we have intensity.
628685	633188	So this is 120% of max, 90%, 75, 60, and 30.
633828	639892	And this is glycogen depletion here on the y-axis and then duration or time on the x-axis.
641173	644195	We can see that at every intensity it decreases.
646046	649627	as far as glycogen content with exercise duration.
650347	655868	But we see the largest magnitude in decrease at the 75% intensity.
657268	662029	But I guess the point is, is as you increase in duration, you are depleting those glycogen stores.
666570	671271	If you run out of glycogen or deplete them to a certain level,
672570	679711	you have to rely on other energy stores, which would be this fat utilization over here.
688473	688753	Okay.
690613	696374	So this does not change our model of as exercise intensity increases, we prefer carbohydrates.
697674	700815	It's just we're running out of those carbohydrates with duration.
703235	712820	This is kind of telling the same story, declining the gas drop muscle for glycogen content for three hours of treadmill exercise running at 70% VO2 max.
713360	726247	We see the muscle glycogen decreases, and as we have that decrease in muscle glycogen, it seems like we are working harder, or the perceived exertion here on this y-axis is much higher.
728804	740989	It is interesting though that until about 50 millimoles per kilogram, there wasn't a large or a change in this increase of the rating of perceived exertion.
742530	750033	And I think most of us who have exercised for this long of a duration, maybe one hour to two hour, you may have felt this if you weren't feeding.
751315	757741	So you're exercising, you're feeling pretty good, and then all of a sudden you're like, whoa, I'm in really bad shape here.
757861	758722	I need to feed.
758842	765308	But by that time, you're kind of out of luck, and you have to really decrease that exercise intensity.
765888	771913	Sometimes that's called hitting the wall, or you're bonking, and you really, no matter what, you can try to feed.
771953	775817	But at that point in time, you have to decrease that exercise intensity.
779922	782324	Another kind of figure of the same concept.
782384	782624	Oh, yeah.
785746	786326	Yeah, yeah.
786526	787747	And we'll talk about feeding.
787807	792730	But yeah, as you feed, that really makes a very large difference in this model.
798778	804621	Well, if you are supplying carbohydrates, then you can almost spare some of the glycogen molecules.
805382	807983	You can push this curve a little bit further.
808644	816208	So instead of muscle glycogen ending at four hours, maybe it'll end over here at six, but maybe you're not even exercising for six hours.
816308	818029	So you would never run into that problem.
818810	819410	It's a great question.
820871	830721	So here if we have the two major substrates but broken down in kind of locations, we have muscle triglycerides, plasma-free fatty acids, and then blood glucose and muscle glycogen.
831522	841692	So we can think of this 50% here just like what we saw on that previous figure of fat utilization and carbohydrate utilization right around 50-50, because all of this would be carbohydrate.
842825	857837	They all decrease here, but as we start to deplete our glycogen levels, we are more and more becoming reliant on our glucose levels, which is generally not a great thing because we need to tightly regulate our blood glucose levels.
858477	860519	But they have to pull that energy from somewhere.
862040	868025	No surprise, we're becoming more reliant on the free fatty acids, the plasma free fatty acids.
872033	878216	And so we kind of talked about this a little bit based on your classmates question.
879437	886420	But if muscle glycogen levels are limited during prolonged low intensity exercise, what can an athlete do to delay the fatigue in a race?
888581	891743	We don't have to break off into groups because we just kind of talked about it.
893344	894504	But remind me, what can we do?
894725	895425	There's a few things.
896485	897926	Yeah, you can feed, right?
898626	904730	You can eat and try to maintain some of these blood glucose and glycogen levels.
904770	908932	What else could we do, but if it's an athlete they really don't wanna do it?
911454	912375	Slow down, yeah.
912695	922901	Eventually you can't maintain that exercise intensity, so maybe you have to slow down so you're relying on more fats to produce the energy to sustain that exercise as opposed to carbohydrates.
923681	924642	That's good, good.
927274	933758	OK, I know I'm just almost repeating the same thing over and over, but this is how important these concepts are.
933838	938140	But again, exercise duration on muscle fuel source.
938701	946565	We start to deplete those glycogen levels, so we need to rely more and more on plasma-free fatty acids.
946885	948186	And that's why this one comes way up.
956110	958111	Okay, so are we kinda stuck where we're at?
958571	969436	No, not really, because if we can train or undergo repeated bouts over time of endurance exercise training, we can shift this curve.
970316	982041	And how this curve shifts, if we're just looking at fat oxidation here on the y-axis, so I've kinda taken away carbohydrate to make this a little bit easier to look at, if we start at this bottom curve,
983560	987902	after training, we shift the curve up and to the left.
988402	989863	So up and to the left over here.
990523	992324	So that's what this arrow is indicating.
994545	999607	The nice thing about this would be now I can take any duration
1001450	1003993	draw a line straight up, so say three hours.
1004193	1009700	This was my old line and I was at 48% oxidation.
1010221	1013484	And I come back up to here after training, I'm at 50 or 60, 58, 60% oxidation.
1019611	1024234	So if you're ever like, oh, man, I kind of forgot after training, where does the curve shift?
1024675	1034281	Well, if I drew the curve down below and you just drew a line up, you would see you're burning less fat after training if you drew it incorrectly on the bottom.
1034841	1047150	And so it's pretty straightforward as far as if you have the underlying concept and you draw the curve correctly, or if you have the curve incorrect and you have the underlying concept, you can correct that pretty quickly.
1049170	1057135	So I think draw the curve, draw a line straight up, and you can kind of see which one is improving after training.
1063359	1070223	Any questions on substrate utilization as we are increasing duration or time?
1072465	1072605	Yeah.
1079880	1082262	like the output level of the athletes?
1083544	1091270	So you're saying that as I train, if I'm utilizing more fat, I'm at a disadvantage?
1091491	1092612	Is that kind of what you're getting at?
1094013	1094273	Yeah.
1094353	1099698	So in this instance, one thing, and this is a great question, because we're at the same exercise intensity here.
1100839	1105684	So at the same exercise intensity, we see an increase in fat utilization with training.
1106646	1109787	But that just means with training I can run faster.
1110887	1119990	So then I'd be at a higher absolute speed and I'd be able to maintain the same rate of fat oxidation versus carbohydrate if I push myself on a higher intensity scale.
1121351	1128353	So what this ends up doing is it actually spares your glycogen molecules at a much higher rate for an endurance trained athlete.
1134132	1138876	I guess, like what's the duration of the training like before that?
1138896	1146481	Yeah, it depends a little bit, but most of the studies have six to eight weeks of training and they publish those results.
1147262	1154448	There are individuals who need a little bit less and especially if someone was already endurance trained and then they took a big break and then they went back.
1154868	1157850	We'll talk about how athletes kind of bounce back a little bit faster.
1157910	1163815	But in general, six to eight weeks would be where the majority of the research lands in this kind of area, yeah.
1169745	1173487	Well, so when you say switch, they're always utilizing fat.
1173527	1180470	They're just doing it at a higher percentage after training compared to before training at the same exercise intensity.
1181171	1188534	But if you put them at a higher exercise intensity, well, that changes because on that spectrum, you're still going to have an increase in carbohydrate utilization.
1189755	1190235	Great question.
1190435	1192156	I think there was another one above.
1192476	1193636	And it's OK if you don't have it again?
1194497	1194597	Yep.
1207548	1214195	Yeah, so not necessarily aerobic versus anaerobic, but we would almost say the rate of perceived exertion would be lower.
1214255	1215916	It'd feel a little bit easier.
1216297	1218719	And I think we've all experienced this with some sort of training.
1219079	1220961	You run at five miles per hour every day.
1221562	1227928	Maybe the first day is kind of hard, but then two months later, you're like, oh, five miles per hour is not that bad anymore.
1228168	1229810	And so that kind of happens.
1230791	1240214	The whole time, you're still primarily oxidative, as long as you're getting past a certain duration, which we kind of talked about on Tuesday, where that halfway point is around two to three minutes.
1241054	1244475	After that, you're primarily using oxidative sources.
1245036	1246076	Yeah, that's good.
1250596	1251136	Okay, great.
1251977	1253458	Okay, so this is duration.
1254439	1257121	Now let's look at what happens with intensity.
1258041	1261604	We've kind of already talked about this as we were talking about duration.
1262905	1270971	But for graded exercise, when I say graded exercise, we're talking about an incremental increase in exercise intensity.
1273121	1298102	Just because we are increasing the exercise intensity does not necessarily mean we're talking about anaerobic versus aerobic, but with a lot of these exercise intensities, we are trying to say, well, at least they're exercising for around four to 10 minutes, which is why ATP produced is primarily from aerobic or oxidative metabolism.
1301301	1322090	Once you reach a certain point where you plateau, which is kind of this next slide here, so as I increase the workload here on the X axis, we are increasing our oxygen consumption on the Y. Well, that makes sense because we need more oxygen to then undergo metabolism to produce more ATP, but eventually,
